File_Name,Tempo,Label,Chroma_STFT_Mean,Chroma_STFT_Var,RMS_Mean,RMS_Var,Spectral_Centroid_Mean,Spectral_Centroid_Var,Spectral_Bandwidth_Mean,Spectral_Bandwidth_Var,Spectral_Rolloff_Mean,Spectral_Rolloff_Var,Zero_Crossing_Rate_Mean,Zero_Crossing_Rate_Var,Harmony_Mean,Harmony_Var,Perceptr_Mean,Perceptr_Var,MFCC1_Mean,MFCC1_Var,MFCC2_Mean,MFCC2_Var,MFCC3_Mean,MFCC3_Var,MFCC4_Mean,MFCC4_Var,MFCC5_Mean,MFCC5_Var,MFCC6_Mean,MFCC6_Var,MFCC7_Mean,MFCC7_Var,MFCC8_Mean,MFCC8_Var,MFCC9_Mean,MFCC9_Var,MFCC10_Mean,MFCC10_Var,MFCC11_Mean,MFCC11_Var,MFCC12_Mean,MFCC12_Var,MFCC13_Mean,MFCC13_Var,MFCC14_Mean,MFCC14_Var,MFCC15_Mean,MFCC15_Var,MFCC16_Mean,MFCC16_Var,MFCC17_Mean,MFCC17_Var,MFCC18_Mean,MFCC18_Var,MFCC19_Mean,MFCC19_Var,MFCC20_Mean,MFCC20_Var
blues.00000,123.046875,blues,0.35008812,0.08875657,0.13022792,0.002826697,1784.16585,129774.0645,2002.44906,85882.76132,3805.839606,901505.4255,0.083044821,0.000766946,-4.53E-05,0.008172282,7.78E-06,0.005698182,-113.57065,2564.2075,121.57179,295.91382,-19.168142,235.57443,42.36642,151.1069,-6.364664,167.9348,18.623499,89.18084,-13.704891,67.6605,15.34315,68.93258,-12.27411,82.2042,10.976572,63.38631,-8.326573,61.773087,8.803793,51.24412,-3.6723,41.217415,5.747995,40.554478,-5.162882,49.775425,0.75273985,52.42091,-1.6902149,36.52407,-0.40897894,41.597103,-2.3035226,55.062923,1.2212901,46.93603
blues.00001,67.99958882,blues,0.34091356,0.094980255,0.09594781,0.002372739,1530.176679,375850.0736,2039.036516,213843.7555,3550.522098,2977893.388,0.056039809,0.001447521,0.000139581,0.005099333,-0.000177608,0.003063172,-207.5017,7764.555,123.991264,560.2599,8.955127,572.8109,35.87765,264.50613,2.9073195,279.93292,21.510466,156.4771,-8.560436,200.84918,23.370686,142.55594,-10.099661,166.10852,11.900497,104.35861,-5.5556393,105.17363,5.3763275,96.19721,-2.2317603,64.91429,4.2201405,73.152534,-6.0121484,52.422142,0.92799747,55.356403,-0.73112476,60.31453,0.29507312,48.120598,-0.28351822,51.106197,0.5312156,45.78628
blues.00002,161.4990234,blues,0.3636372,0.085275196,0.17557041,0.002745916,1552.811865,156467.6434,1747.702312,76254.19226,3042.260232,784034.4607,0.076291207,0.001006829,2.11E-06,0.016341973,-1.95E-05,0.007457626,-90.722595,3319.045,140.4463,508.76505,-29.09389,411.7812,31.684334,144.09035,-13.984504,155.49376,25.764742,74.54839,-13.664875,106.98183,11.639934,106.574875,-11.783642,65.44795,9.7187605,67.90886,-13.133803,57.781425,5.791199,64.48021,-8.907628,60.38515,-1.0770003,57.711136,-9.229274,36.58099,2.4516892,40.598766,-7.7290926,47.639427,-1.816407,52.38214,-3.4397204,46.639664,-2.2312589,30.573019
blues.00003,63.02400915,blues,0.4047847,0.093999036,0.141093,0.006346346,1070.106615,184355.9424,1596.412872,166441.4948,2184.745799,1493194.36,0.033308863,0.000422759,4.58E-07,0.019054487,-1.45E-05,0.002712198,-199.5442,5507.517,150.09091,456.5053,5.6626782,257.16116,26.85908,158.26732,1.7713993,268.0344,14.234031,126.79413,-4.8320065,155.91208,9.286495,81.27374,-0.7591865,92.11409,8.137607,71.31408,-3.200653,110.23669,6.079319,48.252,-2.4801738,56.799408,-1.0793047,62.2899,-2.8707886,51.651592,0.7808734,44.427753,-3.3195965,50.206673,0.6369653,37.319134,-0.6191212,37.259735,-3.4074485,31.949339
blues.00004,135.9991776,blues,0.30852604,0.08784098,0.09152871,0.002303398,1835.004266,343399.9393,1748.172116,88445.20904,3579.757627,1572977.832,0.101460539,0.001954125,-1.76E-05,0.004814,-1.01E-05,0.003093899,-160.3377,5195.2925,126.219635,853.7847,-35.58781,333.79294,22.148071,193.45612,-32.478603,336.27682,10.852294,134.83157,-23.352331,93.257095,0.49843347,124.67213,-11.793437,130.07336,1.207255,99.67558,-13.088418,80.254074,-2.813867,86.430626,-6.9333854,89.55544,-7.5527253,70.94334,-9.164666,75.7934,-4.5205755,86.09924,-5.454034,75.26972,-0.91687363,53.61392,-4.404826,62.910805,-11.703234,55.19516
blues.00005,69.83741554,blues,0.3024563,0.08753238,0.10349364,0.003980508,1831.99394,1030482.37,1729.653287,201910.5086,3481.517592,3274439.958,0.094041534,0.006233196,1.96E-07,0.008082612,-2.65E-05,0.003242043,-177.77425,7307.417,118.20548,3195.213,-17.56588,654.37384,30.762402,485.74652,-21.747839,433.41,11.920993,266.3915,-20.730993,169.74173,3.1865778,133.73685,-8.586039,172.22939,-0.93285215,100.126076,-11.772434,76.54654,-2.4058323,78.70782,-9.343665,80.29009,-9.93621,47.552048,-3.9039948,60.071102,-5.57659,72.549225,-1.8382629,68.702034,-2.7837994,42.447453,-3.047909,39.808784,-8.109991,46.311
blues.00006,71.77734375,blues,0.29132798,0.09398133,0.14187415,0.008803189,1459.366472,437859.3981,1389.009131,185023.2395,2795.610963,1621442.025,0.073052237,0.001909171,-9.67E-06,0.016923327,-2.24E-05,0.005953942,-190.05237,9656.535,130.28908,1932.7958,-36.369534,1307.4882,33.029034,480.35208,11.108783,1083.6484,-0.6055837,280.77814,-20.871855,152.26305,0.2730247,102.91594,-6.4861403,130.94524,-5.5167675,153.45065,-7.8397517,87.440834,-3.1285918,64.225655,-6.596197,79.12598,-9.950378,63.19026,-6.535177,86.379135,-10.068051,83.248245,-10.913176,56.902153,-6.971336,38.2318,-3.4365046,48.23574,-6.4834657,70.17037
blues.00007,92.28515625,blues,0.3079548,0.09290288,0.13182218,0.005531143,1451.667066,449568.1625,1577.270941,168211.9388,2954.83676,1629129.972,0.061442246,0.001848816,1.94E-05,0.013223033,-4.81E-05,0.004838659,-179.34714,6573.922,136.46901,1479.2494,-26.673138,591.63196,39.98425,352.54654,5.304416,650.2316,10.928612,136.30414,-20.564827,163.77182,8.511157,151.295,-11.357249,171.94316,-3.4683466,178.18507,-8.419937,147.50786,-6.949715,83.7183,-3.5391388,93.321396,-8.041617,57.490086,-8.960675,82.21691,-8.426084,70.43844,-10.568936,52.090893,-10.784514,60.46133,-4.6906776,65.547516,-8.630722,56.401436
blues.00008,83.35433468,blues,0.40887922,0.086512476,0.14241649,0.001507156,1719.368948,163282.8454,2031.740381,105542.7182,3782.316288,1262916.989,0.064024888,0.000731482,2.26E-06,0.012702082,-1.97E-05,0.003465382,-121.363945,2622.1948,122.50667,414.5059,-14.738195,341.21713,46.131065,193.62128,-8.181879,177.16402,20.182962,107.01757,-19.173378,57.66452,23.039139,77.06928,-11.838223,42.60453,21.16,58.66767,-6.718366,48.94551,6.9925423,56.430885,-12.730596,61.98458,5.0613246,50.532127,-5.183214,32.967133,-1.4525597,50.563755,-7.0418243,28.894934,2.6952481,36.88957,3.4123054,33.6986,-2.7156928,36.41843
blues.00009,80.74951172,blues,0.2739504,0.092315964,0.08131366,0.004346865,1817.150863,298236.1412,1973.773306,114070.1126,3943.490565,1367638.235,0.079174824,0.001377659,-1.66E-06,0.007221407,-2.33E-05,0.001676929,-213.23999,6133.7217,115.1656,798.2787,-11.693431,668.9617,39.014275,350.70847,-20.341278,531.9755,13.077605,278.81815,-9.173519,126.72617,9.011447,68.01217,-14.100634,110.074875,4.265941,92.64542,-6.0461674,84.93378,3.782207,104.44965,0.22179934,76.33886,-5.1093993,85.39026,-0.41023037,103.98843,-1.1799209,59.31461,-1.9168046,58.41844,-2.2926607,83.20523,2.881967,77.08222,-4.2352037,91.468796
